name	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
is the feeling of being protected from the factors that causes harm . It is also important to highlight that an individual who controls the risk causing factors has the feeling of being safe .	2091	0.19714028	0.008608486	-0.038682945	6.093745	-8.4967	-1.7391998	0.45740908	0.28926736	0.5039023	-1	5	14	-1
that	1214	0.24583758	-0.021671508	-0.028275568	10.6385355	-6.6369843	-0.7213678	-0.5925493	0.2911371	-0.40385956	8	7	7	13
of the church choir	795	0.18215252	0.036113974	-0.0037316293	6.415416	-10.624676	-7.4474983	-0.054894026	0.4975957	-0.1493668	6	24	15	11
contract	2014	-0.017763024	-0.18184952	-0.17269641	11.08642	12.283864	2.6809888	0.5628599	-0.719673	-0.17222823	4	15	4	7
can be too austere	325	0.006855276	-0.09986065	-0.034841113	1.0236813	13.220341	8.821553	-0.25797263	0.117029876	0.13776523	22	41	18	41
the does not	662	0.018966828	-0.108083956	0.022427965	-2.3200498	11.605076	2.9669194	-0.2036507	0.209924	0.090292394	-1	27	18	33
the gonads are affected though in since the person is a child when the problem begins	1522	-0.10824611	0.06318358	0.04861493	-9.4609	-7.703708	7.60408	0.42952126	-0.18617813	0.643475	26	28	22	35
is caused by man	1479	-0.01902346	0.12064612	0.056551453	-12.922649	0.57461953	-2.1378868	-0.4870631	0.44170955	0.36387536	-1	33	2	32
is more predominantly utilized in the United States of America ( USA ) , Canada , and Australia	449	0.10141994	0.21259224	-0.10405404	0.13511759	-18.057892	1.9522825	0.40533975	0.34943986	-0.22392242	1	22	-1	12
‘ hug ’	985	0.24455218	-0.024254657	-0.030033031	12.23854	-4.56009	-3.0820272	-0.5910801	0.48283836	-0.40449786	8	7	-1	13
has prayer beads	249	-0.11507966	-0.0039035943	0.0024144663	-6.520125	2.5789468	10.802646	0.037201103	0.36519894	-0.20187704	21	34	-1	39
glass is broken	774	0.24686241	-0.022802105	-0.027527995	13.515142	-8.306359	-3.3509903	-0.59176373	0.29161423	-0.39878035	8	7	7	13
chosen by your parents	1432	0.24591912	-0.02197463	-0.027400494	11.229427	-7.3532543	-1.5835047	-0.5929727	0.2914988	-0.40262586	8	7	7	13
is utilized in most networks because it is easy	661	-0.038202327	-0.09787348	-0.10249072	15.032795	2.9647188	5.273817	-0.3731916	-0.26780057	0.51109713	-1	0	-1	5
is the financial capital of India , also housing Bollywood , India\\u2019s answer to Hollywood	1164	-0.05572998	-0.04836923	0.0582113	-10.598692	14.327682	4.9168453	-0.11878642	-0.58025956	-0.00800323	25	9	-1	15
cold	585	0.10298546	0.1665175	0.023920229	-2.9146194	-7.9373846	-7.788143	0.2642505	0.56833476	-0.47343245	11	37	-1	3
these	925	0.2450958	-0.02094872	-0.026084436	13.092215	-7.3748984	-2.4407089	-0.59579265	0.29025623	-0.45155826	8	7	7	13
sometimes also refers to the atmospheric character of a region . It is the department of climatology that works on the issue of global warming	31	0.24686748	-0.023489414	-0.031107103	15.174102	-6.011983	-1.6231216	-0.59329844	0.29004434	-0.40489307	8	7	7	13
the main ingredient used in making are cream or milk , additives , and sugar	1872	0.063069925	0.1319941	0.057381187	4.2195463	-8.644179	-14.8041115	0.06803862	0.016776973	0.075451404	12	13	20	1
a focuses on the specific skills of a student . A diploma is mainly subject centric	490	-0.036191527	-0.08884314	0.100533806	-4.412129	4.7571273	-6.0084066	-0.30011815	-0.07560376	0.6988773	-1	30	10	36
it is meriting that has a sour to bitter taste because it is prepared by curdling mild with food acid like lemon juice and vinegar among others . It is also worth noting that paneer has a fine texture	1912	0.24174239	-0.0521708	0.011651871	19.04196	-9.76356	-6.334443	-0.50333863	-0.30985257	-0.40462866	7	6	5	14
a can store different values of all the members and change in the value of one member will not have any effect on the values of other members	1184	-0.06502326	-0.03417559	0.15753773	-13.541901	10.248159	-11.181234	0.079589255	0.5305943	-0.023801249	-1	-1	-1	-1
varies on short term basis	937	0.056441028	-0.101422764	0.038374886	-3.5240614	11.621626	0.46107274	-0.19594105	0.21267927	-0.11864611	16	27	16	33
shop next door	1986	0.24555683	-0.02206826	-0.027901469	10.460372	-8.8720665	-1.9769773	-0.5918213	0.29034597	-0.4056453	8	7	7	13
a also earns profits implemented taxes imposed on eligible workers , businesses , and other various entities . Governments can also earn profits by imposing a transaction fee for a particular service in the various government agencies and offices . A government can also own businesses or corporations to increase its assets	54	-0.018752992	-0.07631325	0.2071865	-10.609528	8.163913	-13.077509	-0.11519036	0.055212177	-0.013135179	18	10	-1	28
points to something “ over there . ”	143	0.24349132	-0.022565654	-0.02696343	11.35213	-6.2747	-1.7529702	-0.59197474	0.2904304	-0.40288496	8	7	7	13
are considered to be avant-garde or pioneers in starting new trends and ideas in society . Once the concept is adapted by the mainstream , they often abandon it and set on a new trend	1532	-0.11622508	-0.07078873	-0.00807593	3.036666	4.9950542	-6.1760554	0.5853068	-0.46719283	0.13229057	-1	-1	-1	-1
is mine	1347	0.2488691	-0.024282971	-0.029813658	12.769018	-4.4142	-1.7943231	-0.5966294	0.29116789	-0.40155008	8	7	7	13
contains at least 1.4 % egg yolk	120	0.058574073	0.13346548	0.056150857	3.4129212	-7.7542787	-14.4568	0.05436219	0.019343408	0.07008434	12	13	20	1
there is that does cause a variety of illnesses and diseases	288	0.061835695	0.09970408	0.004771319	-4.379839	-11.257599	-0.26651746	0.5719718	-0.1914942	0.8109627	-1	-1	-1	-1
for certain recipes , you can replace with white sugar also	1515	-0.057517607	0.024509825	0.072819345	-3.5970066	-1.0862192	-0.577214	0.27874362	-0.63307965	0.1855522	-1	26	-1	37
: The shingles may lead to complications more often	295	-0.121478006	0.046386912	-0.19493774	-3.952146	-12.140863	13.207816	0.48155102	-0.78323543	-0.66366124	15	16	3	9
can be produced from soybean despite it being produced from coagulated milk	161	0.23770805	-0.054580357	0.008951929	19.190283	-9.482778	-6.2649994	-0.50237525	-0.3087223	-0.40182507	7	6	5	14
is the measurement of an engine ’s power without any power losses	604	-0.1269121	0.06020512	0.054835223	-9.847694	-8.484251	8.038267	0.43994358	-0.19735453	0.6325364	26	28	22	35
are made with polymethylpentene or polypropylene	347	0.0755027	-0.053400524	0.02381266	0.7900512	3.8640354	0.24230634	-0.5642421	-0.9573005	0.60554767	-1	-1	-1	-1
is on the west coast of the United States of America	1487	0.0030716595	0.15527655	0.070547044	-13.021479	1.2492244	5.312031	0.40363935	0.4103183	0.52901477	-1	33	14	-1
the other area that is the northwestern part is ruled by society	1855	0.016560294	-0.13499267	0.100311466	-5.0869355	13.960535	-14.8161335	-0.3404768	-0.73689955	0.3643847	20	12	0	0
