,n1,rel,n2
0,able.a.01,antonym,unable.a.01
1,unable.a.01,antonym,able.a.01
2,abaxial.a.01,antonym,adaxial.a.01
3,abaxial.a.01,antonym,adaxial.a.01
4,adaxial.a.01,antonym,abaxial.a.01
5,adaxial.a.01,antonym,abaxial.a.01
6,acroscopic.a.01,antonym,basiscopic.a.01
7,basiscopic.a.01,antonym,acroscopic.a.01
8,abducent.a.01,antonym,adducent.a.01
9,abducent.a.01,antonym,adducent.a.01
10,adducent.a.01,antonym,abducent.a.01
11,adducent.a.01,antonym,abducent.a.01
12,adducent.a.01,antonym,abducent.a.01
13,nascent.a.01,antonym,dying.a.01
14,nascent.a.01,antonym,moribund.s.02
15,nascent.a.01,antonym,last.s.05
16,dying.a.01,antonym,nascent.a.01
17,dying.a.01,antonym,emergent.s.02
18,dying.a.01,antonym,parturient.s.02
19,dying.a.01,antonym,emergent.s.02
20,dying.a.01,antonym,dissilient.s.01
21,abridged.a.01,antonym,full-length.s.02
22,abridged.a.01,antonym,full-length.s.02
23,abridged.a.01,antonym,unabridged.a.01
24,unabridged.a.01,antonym,abridged.a.01
25,unabridged.a.01,antonym,potted.s.03
26,unabridged.a.01,antonym,half-length.s.02
27,unabridged.a.01,antonym,cut.s.03
28,unabridged.a.01,antonym,cut.s.03
29,absolute.a.01,antonym,relational.s.01
30,absolute.a.01,antonym,relative.a.01
31,relative.a.01,antonym,direct.s.10
32,relative.a.01,antonym,direct.s.10
33,relative.a.01,antonym,infinite.s.04
34,relative.a.01,antonym,infinite.s.04
35,relative.a.01,antonym,living.s.03
36,relative.a.01,antonym,living.s.03
37,relative.a.01,antonym,implicit.s.02
38,relative.a.01,antonym,implicit.s.02
39,relative.a.01,antonym,absolute.a.01
40,relative.a.01,antonym,absolute.a.01
41,relative.a.01,antonym,implicit.s.02
42,relative.a.01,antonym,implicit.s.02
43,absorbent.a.01,antonym,nonabsorbent.a.01
44,absorbent.a.01,antonym,nonabsorbent.a.01
45,absorbent.a.01,antonym,repellent.s.03
46,absorbent.a.01,antonym,repellent.s.03
47,absorbent.a.01,antonym,repellent.s.03
48,absorbent.a.01,antonym,repellent.s.03
49,nonabsorbent.a.01,antonym,spongy.s.02
50,nonabsorbent.a.01,antonym,spongy.s.02
51,nonabsorbent.a.01,antonym,absorbent.a.01
52,nonabsorbent.a.01,antonym,absorbent.a.01
53,nonabsorbent.a.01,antonym,assimilating.s.01
54,nonabsorbent.a.01,antonym,assimilating.s.01
